Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0440022K;Lycée général Jules Verne;LYCEE GENERAL;JULES VERNE;Public;1 rue GENERAL MEUSNIER;;14217;44042;NANTES CEDEX 1;Nantes;355009.0;6689600.3;EPSG:2154;47.217000945239455;-1.5610097373813439;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.217000945239455, -1.5610097373813439;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0440024M;Lycée général Gabriel Guist'Hau;LYCEE GENERAL;GABRIEL GUISTHAU;Public;3 rue MARIE ANNE DU BOCCAGE;;34201;44042;NANTES CEDEX 1;Nantes;354417.4;6689542.6;EPSG:2154;47.216174628191325;-1.568769563633372;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.216174628191325, -1.568769563633372;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0440035Z;Lycée professionnel Léonard de Vinci;LYCEE PROFESSIONNEL;LEONARD DE VINCI;Public;31 rue DE LA BOTTIERE;;72821;44328;NANTES CEDEX 3;Nantes;358048.6;6691817.4;EPSG:2154;47.23850083080752;-1.5225893821168477;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.23850083080752, -1.5225893821168477;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1949-02-21
0440045K;Collège Victor Hugo;COLLEGE;VICTOR HUGO;Public;40 rue DE BEL AIR;;;44042;NANTES CEDEX 1;Nantes;355210.5;6690319.6;EPSG:2154;47.223570482598525;-1.5589001194055196;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.223570482598525, -1.5589001194055196;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0440163N;Lycée général et technologique privé Saint Stanislas;LYCEE GEN.ET TECHNOL.PRIVE;ST STANISLAS;Privé;2 rue SAINT STANISLAS;;;44009;NANTES CEDEX 1;Nantes;355426.4;6690291.7;EPSG:2154;47.22343184688967;-1.556030503195269;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.22343184688967, -1.556030503195269;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-02-28
0440219Z;Collège privé Saint Jacques de Compostelle;COLLEGE PRIVE;ST J.DE COMPOSTELLE;Privé;11 rue GABRIEL GOUDY;;;44200;NANTES;Nantes;356485.2;6687129.1;EPSG:2154;47.1955557393812;-1.539660254937077;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.1955557393812, -1.539660254937077;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-03-08
0440285W;Collège Gaston Serpette;COLLEGE;GASTON SERPETTE;Public;12 rue DU DOCTEUR RAPPIN;;;44000;NANTES;Nantes;353907.7;6690819.7;EPSG:2154;47.22738710438993;-1.5764704324721976;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.22738710438993, -1.5764704324721976;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-13
0440328T;Section d'enseignement général et professionnel adapté du Collège Libertaire Rutigliano;SEGPA;CLG LIBERTAIRE RUTIGLIANO;Public;60 rue DE L ERAUDIERE;;11906;44319;NANTES CEDEX 3;Nantes;356777.7;6692065.4;EPSG:2154;47.24007362725018;-1.5395495008832363;Parfaite;Numéro de rue;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.24007362725018, -1.5395495008832363;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-05-29
0440612B;Ecole élémentaire publique Agenêts;ECOLE ELEMENTAIRE PUBLIQUE;AGENETS (LES);Public;31 rue des Agenets;;;44000;NANTES;Nantes;357386.5;6690646.9;EPSG:2154;47.227639041972594;-1.530439778951194;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.227639041972594, -1.530439778951194;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440644L;Ecole primaire publique Gay-Lussac;ECOLE PRIMAIRE PUBLIQUE;GAY-LUSSAC;Public;13 rue Corentin Bourveau;;;44300;NANTES;Nantes;358054.4;6690624.5;EPSG:2154;47.2277821750848;-1.521610387338125;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2277821750848, -1.521610387338125;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440663G;Ecole élémentaire publique La Mutualité;ECOLE ELEMENTAIRE PUBLIQUE;MUTUALITE (LA);Public;2 rue de la Mutualité;;;44100;NANTES;Nantes;352787.3;6688433.5;EPSG:2154;47.20535593918713;-1.5894206120523133;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.20535593918713, -1.5894206120523133;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440665J;Ecole primaire publique Charles Lebourg;ECOLE PRIMAIRE PUBLIQUE;CHARLES LEBOURG;Public;5 rue Charles Lebourg;;;44300;NANTES;Nantes;355172.6;6691500.1;EPSG:2154;47.23416071369772;-1.5603005851508343;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.23416071369772, -1.5603005851508343;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440670P;Ecole élémentaire publique Lucie Aubrac;ECOLE ELEMENTAIRE PUBLIQUE;LUCIE AUBRAC;Public;47 boulevard Jean Moulin;;;44100;NANTES;Nantes;352071.1;6688764.7;EPSG:2154;47.20795766111801;-1.5991205875703662;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.20795766111801, -1.5991205875703662;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440678Y;Ecole élémentaire publique Gustave Roch;ECOLE ELEMENTAIRE PUBLIQUE;GUSTAVE ROCH;Public;24 boulevard Gustave Roch;;;44200;NANTES;Nantes;355750.9;6688177.6;EPSG:2154;47.2045992100751;-1.55014040009921;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2045992100751, -1.55014040009921;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
