Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
4595;Parc du Petit Port;Parc;Boulevard des Tribunes;44300;Nantes;47.24550301199997, -1.558412555000018;http://www.jardins.nantes.fr;"Ligne C2 Pont du Cens ; Ligne 25 Hippodrome";;NON;NON;NON;NON;NON;OUI;NON;NON;NON;OUI
1531;Square Pascal Lebée;Parc;Rue Dugommier;44000;Nantes;47.216107109999996, -1.5635025010000163;http://www.jardins.nantes.fr;Delorme Ligne 22 51 54 F;;NON;NON;NON;OUI;NON;OUI;NON;NON;NON;NON
4588;Jardin des Nectars;Parc;Petite Avenue de Longchamp;44300;Nantes;47.23806853399998, -1.5826193600000238;http://www.jardins.nantes.fr;Ligne 3 Beauséjour;;NON;OUI;NON;NON;OUI;NON;OUI;NON;OUI;OUI
4590;Parc Pablo Picasso;Parc;Mail Pablo Picasso;44000;Nantes;47.21503142099999, -1.536421603000008;http://www.jardins.nantes.fr;Ligne C3 Picasso;;NON;OUI;NON;NON;OUI;OUI;OUI;NON;NON;OUI
1523;Square Jean-Baptiste Barre;Parc;Rue Jean Baptiste Barré;44000;Nantes;47.22274689699998, -1.527543879999996;http://www.jardins.nantes.fr;Ligne 1 Hopital Bellier;;NON;OUI;NON;NON;NON;NON;OUI;NON;NON;NON
4415;Jardin des Fonderies;Parc;Rue Louis Joxe;44200;Nantes;47.20562981500001, -1.5448420160000182;http://www.jardins.nantes.fr;Lignes 2 3 Wattignies;;NON;OUI;NON;NON;NON;OUI;NON;OUI;NON;NON
1026;Parc du Plessis Tison;Parc;1 Boulevard Jules Verne;44300;Nantes;47.23506576, -1.5361470760000202;http://www.jardins.nantes.fr;Ligne C2 Place du cirque/ Ligne C1 Rond point de paris;;OUI;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;OUI
4579;Square du Lait de Mai;Parc;Passage Berthault;44000;Nantes;47.212117288, -1.5483635229999777;http://www.jardins.nantes.fr;Ligne 2 Aimé Delrue;;NON;OUI;NON;NON;OUI;NON;OUI;NON;OUI;NON
1514;Square Augustin Fresnel;Parc;Rue Augustin Fresnel;44300;Nantes;47.242997471000024, -1.5229314459999728;http://www.jardins.nantes.fr;Fresnel Ligne 21 11;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4592;Square Pilotière;Parc;Boulevard de la Pilotière;44300;Nantes;47.24499151200001, -1.5247319029999744;http://www.jardins.nantes.fr;Ligne 11 Dunant;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
4958;Pataugeoire du Clos-Toreau;Parc;Rue de Saint Jean de Luz;44200;Nantes;47.19472221799998, -1.5280383609999717;;;;;;;;;;;;;
4582;Square des Courtils;Parc;Rue des Courtils;44100;Nantes;47.20043817499999, -1.5933392759999947;http://www.jardins.nantes.fr;Ligne 1 Gare maritime et ligne 81 Gare de Chantenay;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
1517;Square Commandant Aubin;Parc;Quai du Marquis d'Aiguillon;44100;Nantes;47.201897707, -1.5768918960000065;http://www.jardins.nantes.fr;;;;;;;;;;;;
3208;Square Charles Housset;Parc;Rue Charles Housset;44100;Nantes;47.202643937999994, -1.6083776240000134;http://www.jardins.nantes.fr;Ligne 1 Lauriers;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4605;Jardin des Quatre Jeudis;Parc;Passage des Tauzins;44300;Nantes;47.265744568, -1.5202138880000007;http://www.jardins.nantes.fr;Ligne 2 Place du Cirque / Ligne C6 Portricq;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4604;Jardin du Nadir;Parc;Rue du Nadir;44300;Nantes;47.267014768000024, -1.51896582400002;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
5665;Le Jardin Extraordinaire;Parc;1 Rue Joseph Cholet;44100;Nantes;47.20018378100002, -1.5808838419999915;;;;;;;;;;;;;
1534;Square Villebois Mareuil;Parc;Allée de la Bourse;44000;Nantes;47.21241709200001, -1.5589719939999895;http://www.jardins.nantes.fr;;;;;;;;;;;;
1016;Jardin des Plantes;Parc;Rue Stanislas Baudry;44000;Nantes;47.21967020599999, -1.5430812590000187;http://www.jardins.nantes.fr;Gare SNCF Lignes 1;Camelia, Epiphytes, Cactées;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI
3210;Square de la Halvêque;Parc;Rue Léon Serpollet;44300;Nantes;47.25447677400001, -1.5208124729999781;http://www.jardins.nantes.fr;Ligne 1 Halvêque;;NON;OUI;OUI;NON;OUI;OUI;NON;NON;NON;OUI
3213;Square Louis Bureau;Parc;Place de la Monnaie;44000;Nantes;47.213007593999976, -1.5651121710000098;http://www.jardins.nantes.fr;Ligne C3 Copernic;;NON;OUI;NON;OUI;OUI;OUI;OUI;NON;OUI;NON
1521;Square du Maquis de Saffré;Parc;Rue Sully;44000;Nantes;47.22225945500003, -1.552084829000023;http://www.jardins.nantes.fr;Ligne 2 Saint Mihiel;;NON;NON;NON;NON;OUI;OUI;NON;NON;NON;NON
3212;Square Faustin Hélie;Parc;Rue Faustin Hélie;44000;Nantes;47.218059262, -1.563925557999994;http://www.jardins.nantes.fr;Ligne 54 St Nicolas;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
4598;Place Wattignies;Parc;Rue de l'Echappée;44200;Nantes;47.203761224000004, -1.5480403029999934;http://www.jardins.nantes.fr;Wattignies Ligne 2;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
3223;Parc Say;Parc;Rue Désiré Colombe;44100;Nantes;47.21250045800002, -1.5684381149999922;http://www.jardins.nantes.fr;Jean V Ligne 11;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4578;Square Jean Heurtin;Parc;Square Jean Heurtin;44000;Nantes;47.21494116100001, -1.5447281489999796;http://www.jardins.nantes.fr;Ligne 1 Duchesse Anne Château ou ligne C3 Lieu Unique;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1499;Square Jean Le Gigant;Parc;40 Rue Maurice Terrien;44100;Nantes;47.204126652000014, -1.593135984000014;http://www.jardins.nantes.fr;Cabrol Ligne 70;;NON;OUI;OUI;OUI;NON;OUI;OUI;NON;OUI;NON
4577;Square Gabriel Chéreau;Parc;Rue d'Ancin;44000;Nantes;47.21110856199999, -1.5627866660000223;http://www.jardins.nantes.fr;Ligne 1 Médiathèque;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
5806;Parc de Bottière-Chesnaie;Parc;Mail Haroun Tazieff;44300;Nantes;47.24154071700002, -1.5134921389999931;;;;;;;;;;;;;
1344;Parc de la Boucardière;Parc;54 Rue de l'Abbaye;44100;Nantes;47.20115274800003, -1.5976591560000202;http://www.jardins.nantes.fr;Bois Hardy Ligne 25 Gare de chantenay Ligne 81;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
4603;Jardin des Farfadets;Parc;Allée de Portricq;44300;Nantes;47.266913620000025, -1.5215066520000278;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 Portricq;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
3220;Parc de Broussais;Parc;Boulevard Louis Millet;44300;Nantes;47.22660635, -1.5218530469999791;http://www.jardins.nantes.fr;"Toutes Aides Lignes 12 70 ; Mairie de Doulon Ligne 1";;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
1527;Square Jean-Baptiste Daviais;Parc;Place de la Petite Hollande;44000;Nantes;47.211902416999976, -1.5579172569999855;http://www.jardins.nantes.fr;Commerce Lignes 11 32 51 52 54 CDB;;NON;NON;NON;NON;NON;OUI;OUI;NON;NON;NON
4607;Square Barbara;Parc;Rue de la Grange au Loup;44300;Nantes;47.26608304400003, -1.523076419000006;http://www.jardins.nantes.fr;Ligne 2 Place du Cirque / Ligne C6 Portricq;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4585;Square Zac Pilleux Nord;Parc;Boulevard Benoit Frachon;44100;Nantes;47.20763689500001, -1.5803692129999831;http://www.jardins.nantes.fr;Ligne 1 Du Chauffault;;;;;;;;;;;
1518;Square Commandant Lacroix;Parc;Rue de l'Hermitage;44100;Nantes;47.20346237199999, -1.5759191070000043;http://www.jardins.nantes.fr;;;;;;;;;;;;
3222;Square Jules Bréchoir;Parc;Rue Jules Bréchoir;44000;Nantes;47.22524657299999, -1.522567572000014;http://www.jardins.nantes.fr;Toutes Aides 58 A 75 82 92 - Bd de Doulon Ligne 1;;NON;NON;NON;NON;OUI;NON;OUI;NON;NON;NON
4599;Place de la Guirouée;Parc;Place de la Guiroué;44200;Nantes;47.20847208800001, -1.527572163000002;http://www.jardins.nantes.fr;Ligne C2 ou ligne 2 Place du Cirque;;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
1522;Square Edit de Nantes;Parc;Place de l'Edit de Nantes;44100;Nantes;47.21435363699999, -1.5677651240000046;http://www.jardins.nantes.fr;Edit de Nantes Lignes 21 23 24 56 H;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
1524;Square Etienne Destranges;Parc;Place Edouard Normand;44000;Nantes;47.21919126, -1.5637600559999782;http://www.jardins.nantes.fr;Jean Jaurès Ligne 3;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
2372;Parc Floral de la Beaujoire;Parc;Route de Saint Joseph;44300;Nantes;47.26217104900002, -1.5330595020000146;http://www.jardins.nantes.fr;<p>Chronobus C6 - arrêt Roseraie<br />Tram Ligne 1 - arrêt Beaujoire<br />Bus 75 - arrêt Roseraie</p>;<p>Magnolias, Iris, Bruyères, Vivaces, Rosiers</p>;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;NON
4606;Jardin du Zenith;Parc;Rue Tristan Corbière;44300;Nantes;47.268808315, -1.51682800399999;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4787;Jardin des 5 sens;Parc;Rue Gaëtan Rondeau;44200;Nantes;47.20716353400002, -1.533640326000011;http://www.jardins.nantes.fr;Ligne 1 Duchesse anne château / Ligne 4 Ile de Nantes;;NON;OUI;NON;OUI;OUI;OUI;NON;NON;OUI;NON
