Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
LE MANEGE A GAUFRES;Restaurant;Restauration rapide;;18 quai du 11 Novembre;;44210;;;PORNIC;44131;47.11538;-2.09938;;;;;lemanegeagaufres@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.11538, -2.09938;Loire-Atlantique
LE P'TIT BISTRO;Restaurant;Restauration rapide;;Route de la Baule;Galerie de Carrefour Market;44350;;;GUERANDE;44069;47.29172;-2.39843;;;02 40 60 57 57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.29172, -2.39843;Loire-Atlantique
LE P'TIT CABOULOT;Restaurant;Pizzeria;;Rue de Kerdandec;Plage de Sorlock;44420;;;MESQUER;44097;47.41605;-2.4708;;;06 67 77 43 15;;thonycab@yahoo.fr;http://leptitcab.free.fr;;;;;;;;;;;;;;;;;;;;;;;01/07/2021||31/08/2021||||||19:00||22:30||||||09:00||00:00||||||09:00||00:00||||||09:00||00:00||||||09:00||00:00||||||09:00||00:00||||||09:00||00:00||||;;;;;;47.41605, -2.4708;Loire-Atlantique
LE PANIER GARNI;Restaurant;;;3 rue de la résistance;;44290;;;GUEMENE-PENFAO;44067;47.6281156;-1.8362417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.6281156, -1.8362417;Loire-Atlantique
LE PAVILLON;Restaurant;;;379 route de Vannes;;44800;;;SAINT-HERBLAIN;44162;47.2525171;-1.6239221;;;02 40 94 99 99;;;:	Internet :http://www.restaurant-lepavillon.fr;;;;;Bottin Gourmand,Les Tables de Nantes;;;;;Labellisé Restaurateurs de France;;;;;;;;;;;;;;;;;;;47.2525171, -1.6239221;Loire-Atlantique
LE Q SALÉ;Restaurant;Grill - Rôtisserie;;3 Rue du Pavé de Beaulieu;;44350;;;GUERANDE;44069;47.32822;-2.42627;;;02 40 19 38 54;;leqsale@hotmail.com;http://www.leqsale.com;;;;;Le petit futé;;;oui;;;;48;;;;;;Anglais;oui;;40;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.32822, -2.42627;Loire-Atlantique
LE RETZ;Restaurant;Cuisine traditionnelle;;12 rue de la Marine;;44210;;;PORNIC;44131;47.11542;-2.10068;;06 16 55 15 13;02 40 82 19 78;;leretztorant@hotmail.fr;http://LeRetz.com;;;;;Le petit futé;;;oui;;;Séminaire,WiFi;44;3;4;1;3;;;oui;;50;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11542, -2.10068;Loire-Atlantique
LE ROMARIN;Restaurant;Restaurant gastronomique - cuisine raffinée;;79 Rue de Bretagne;;44880;;;SAUTRON;44194;47.2628588;-1.6752611;;;02 40 63 15 87;;;http://www.restaurant-leromarin.com;;;;;Gault Millau,Le petit futé,Les Tables de Nantes;;;oui;;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;100;3;16;1;0;;Allemand,Anglais,Français,Italien;oui;;100;oui;;;oui;||http://www.nantes-tourisme.com/book/105813||||||;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.2628588, -1.6752611;Loire-Atlantique
LE SABAYON;Restaurant;Restaurant gastronomique - cuisine raffinée;;7 rue de la Paix;;44600;;;SAINT-NAZAIRE;44184;47.276561;-2.2095447;"Transport en commun||Ligne Hélyce - Arrêt: Rue de la Paix||0,04 ; Gare SNCF||||1,2 ; Bord de mer||Front de mer||0,8";;02 40 01 88 21;;touzeau.landry@orange.fr;;;;;;Le petit futé,Le Routard Hôtels et Restos de France,Michelin;;;oui;;;Plats à emporter / Covid-19,Service en terrasse;26;1;6;;;;Français;oui;;15;non;01/01/2023||31/12/2023||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||09:00||||||22:30||09:00||||||22:30||09:00||||||22:30||09:00||||||22:30||09:00||||||22:30||||||||;TOUZEAU Landry||02 40 01 88 21||touzeau.landry@orange.fr;;;Menu adulte soir et week-end||23,00||52,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.276561, -2.2095447;Loire-Atlantique
LE SAINT-GILDAS;Restaurant;Cuisine traditionnelle;;209 Route de la Pointe St-Gildas;;44770;;;PREFAILLES;44136;47.13563;-2.24405;;;02 40 21 66 99;;stgildas@orange.fr;;;;;;;;;non;;;WiFi;100;2;50;;;;;;8;48;;;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.13563, -2.24405;Loire-Atlantique
LE SIM'S;Restaurant;Pizzeria;;6 place du Marché au Bois;Face Porte Saint-Michel;44350;;;GUERANDE;44069;47.3277;-2.4263;;;02 40 00 19 19;;;;;;;;;;;;;;Service en terrasse;;;10;;;;Anglais;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.3277, -2.4263;Loire-Atlantique
LE STREAM;Restaurant;Crêperie;;32 avenue de la Pierre Longue;;44490;;;LE CROISIC;44049;47.28747;-2.52922;;;02 40 23 18 62;;edith.faucher@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28747, -2.52922;Loire-Atlantique
LE TAMARIS;Restaurant;;;23, rue du Mès - Pompas;;44410;;;HERBIGNAC;44072;47.40862;-2.35476;;;02 40 91 40 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.40862, -2.35476;Loire-Atlantique
LE VER LUISANT;Restaurant;;;1 rue Albert Thomas;;44610;;;INDRE;44074;47.1992544;-1.6710419;;;02 53 97 50 96;;leverluisant@outlook.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1992544, -1.6710419;Loire-Atlantique
LE VICTOR HUGO;Restaurant;Pizzeria;;7 Boulevard Victor Hugo;;44110;;;CHATEAUBRIANT;44036;47.7197458;-1.3782243;;;02 40 81 40 36;;levictorhugo.chateaubriant@outlook.fr;;;;;;;;;non;;;Plats à emporter,Service en terrasse;75;;;;;;;oui;;;oui;||||||fermé le dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 81 40 36||;;;Menu adulte du jour (midi en semaine)||11,10||13,10||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.7197458, -1.3782243;Loire-Atlantique
LE VIEUX CARILLON;Restaurant;Cuisine traditionnelle;;Route de La Baule;Careil;44350;;;GUERANDE;44069;47.30829;-2.40819;;;02 40 24 20 65;02 40 24 24 40;contact@le-vieux-carillon.com;http://www.le-vieux-carillon.com;;;;;;;;;;;;110;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Espèces;47.30829, -2.40819;Loire-Atlantique
LE ZIG ZAG;Restaurant;Restauration rapide;;5 Rue Albert Chassagne;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.24722;-2.16482;;;02 51 74 15 70;;;https://www.facebook.com/LE-ZIG-ZAG-854502441241706/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.24722, -2.16482;Loire-Atlantique
LES BLÉS D'OR;Restaurant;Crêperie;;78 avenue Albert de Mun;;44600;;;SAINT-NAZAIRE;44184;47.2789395;-2.2136795;"Gare SNCF||||1 ; Transport en commun||Ligne U4 - Arrêt: Paquebot||0,093";;09 81 79 98 04;;lesblesdorcreperie@gmail.com;;;Facebook||https://www.facebook.com/Cr%C3%AAperie-Les-Bl%C3%A9s-dor-205439849893912/;;;;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse;28;1;16;;;;Anglais,Français;oui;;30;oui;01/01/2023||31/12/2023||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||11:45||14:45||||||11:45||14:45||||||11:45||14:45||18:45||21:30||11:45||14:45||18:45||21:30||11:45||14:45||18:45||21:30||||||||;||09 81 79 98 04||lesblésdorcreperie@gmail.com;;;"Menu enfant||8,50|||| ; Menu adulte du jour (midi en semaine)||11,50|||| ; Menu adulte soir et week-end||14,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.2789395, -2.2136795;Loire-Atlantique
LES BOUTEILLES - LA CANTINE;;Bistrot / bar à vin;;11 Rue de Bel Air;;44000;;;NANTES;44109;47.2210971;-1.5591142;;;02 40 08 27 65;;;;;;;;Gault Millau,Les Tables de Nantes,Michelin;;;;;;;;;;;;;Anglais,Français;oui;;;;;;oui;||http://www.nantes-tourisme.com/book/396239||||||;;Cartes bancaires;47.2210971, -1.5591142;Loire-Atlantique
LES COMPTOIRS D'ALICE ET JULES;Hôtel restaurant;Cafétéria;;Chemin Vert - L'Immaculée;;44600;;;SAINT-NAZAIRE;44184;47.2872417;-2.2516046;;;02 40 91 10 27;;stnazaire@crescendo-restaurant.fr;;;;;;;;;;;;Plats à emporter,Plats à emporter / Covid-19,WiFi;;;;;;;;;;;oui;01/01/2023||31/12/2023||Ouvert du lundi au dimanche||Ouvert 7j/7||07:00||||||21:30||07:00||||||21:30||07:00||||||21:30||07:00||||||21:30||07:00||||||22:00||07:00||||||22:00||07:00||||||21:30;||02 40 91 10 27||;;;"Menu enfant||5,50||9,00|| ; Menu adulte du jour (midi en semaine)||10,90||||";Tickets Restaurant;47.2872417, -2.2516046;Loire-Atlantique
LES PIRATES EN ROULOTTE;Restaurant;;;;;44350;;;GUERANDE;44069;47.32794;-2.42713;;;07 71 65 28 92;;lespiratesenroulotte@gmail.com;https://www.facebook.com/lespiratesenroulotte/?ref=page_internal;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||||||||||18:00||21:30||||||18:00||21:30||||||||||||||18:00||21:30||||;;;;;;47.32794, -2.42713;Loire-Atlantique
LES TONTONS NAGEURS;Restaurant;Cuisine traditionnelle;;24 avenue de Noirmoutier;;44760;;;LA BERNERIE-EN-RETZ;44012;47.08034;-2.04033;;;02 40 64 11 31;;lestontonsnageurs@gmail.com;https://www.les-tontons-nageurs.com/contact;;;;;;;;oui;;;WiFi;50;1;60;;;;;oui;15;45;;;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.08034, -2.04033;Loire-Atlantique
LES TOUCHE-À-TOUT;Restaurant;Restauration rapide;;Ecluse de La Touche;Notre Dame de Grâce;44530;;;GUENROUET;44068;47.48327;-1.88912;;06 12 06 54 27;09 72 55 98 99;;contact@les-touche-a-tout.fr;http://les-touche-a-tout.fr;;;;;;;;oui;;;Service en terrasse;;;15;;;;Allemand,Anglais,Espagnol,Italien;;;;;"01/04/2022||19/06/2022||jours fériés||||10:00||18:00||||||||||||||||||||||||||||||||||||||10:00||18:00||||||10:00||18:00|||| ; 20/06/2022||20/09/2022||||||09:30||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||19:00||||||||||||||09:30||19:00||||||09:30||19:00|||| ; 21/09/2022||31/10/2022||||||||||||||||||||||||||||||||||||||||||||||12:00||18:00||||||12:00||18:00||||";;;;;Chèques bancaires et postaux,Espèces;47.48327, -1.88912;Loire-Atlantique
LES VINS D'OLEG;Restaurant;;;3 place du Marhallé;;44350;;;GUERANDE;44069;47.32685;-2.42678;;;09 50 87 19 75;;;https://www.lesvinsdoleg.fr/;;;;;;;;oui;;;Service en terrasse,WiFi;;;30;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Espèces;47.32685, -2.42678;Loire-Atlantique
MAJU;Restaurant;Restaurant gastronomique - cuisine raffinée;;18 quai Saint-Paul;;44420;;;LA TURBALLE;44211;47.34841;-2.51259;;;02 40 23 30 29;;contact@maju-restaurant.fr;https://www.maju-restaurant.fr/;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.34841, -2.51259;Loire-Atlantique
MCDONALD'S;Restaurant;Restauration rapide;;Grand'Haie;;44810;;;HERIC;44073;47.3815605;-1.6439739;Route (nationale/départ.)||N137||0;;02 40 12 08 68;;;https://www.restaurants.mcdonalds.fr/mcdonalds-HERIC?gclid=Cj0KEQiA4LCyBRCY0N7Oy-mSgNIBEiQAyg39tohzgP5bt7QwOOYt-RyJ-dObjraQBpFDlyU-jhfp2YsaAlyR8P8HAQ&gclsrc=aw.ds;;"Facebook||https://www.facebook.com/mcdonaldsfrance ; Google+||https://www.mcdonalds.fr/actualites ; Twitter||https://twitter.com/mcdonalds ; Instagram||https://www.instagram.com/mcdonalds/ ; Pinterest||https://www.pinterest.com/mcdonalds/ ; Flickr||https://www.flickr.com/photos/aboutmcdonalds/ ; Foursquare||https://fr.foursquare.com/p/mcdonalds/9223457 ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1080861-d6892338-Reviews-McDonald_s_Heric-Heric_Loire_Atlantique_Pays_de_la_Loire.html";;;;;;;;;Plats à emporter,Service en terrasse,WiFi;;;;;;;Français;;;;oui;||||||||09:00||||||22:00||09:00||||||22:00||09:00||||||22:00||09:00||||||22:00||09:00||||||23:00||09:00||||||23:00||09:00||||||22:00;;;;;Cartes bancaires,Chèques bancaires et postaux;47.3815605, -1.6439739;Loire-Atlantique
MR OLIVE;Restaurant;Cuisine du Monde;;21 boulevard René Coty;;44600;;;SAINT-NAZAIRE;44184;47.2731505;-2.2057775;"Gare SNCF||||1,8 ; Transport en commun||Ligne U2 - Arrêt: Quatzhorloges||0,14";;09 86 23 95 09;;contact@mr-olive.fr;https://mr-olive.fr/?lang=fr;;Facebook||https://www.facebook.com/MrOliveTraiteur;;;;;;;;;Plats à emporter,Service en terrasse,Traiteur;23;1;12;;;;Français;;;;;01/01/2023||31/12/2023||Ouvert le lundi, puis du mercredi au dimanche||Fermé le mardi||11:00||15:00||18:00||21:00||||||||||11:00||15:00||18:00||21:00||11:00||15:00||18:00||21:00||11:00||15:00||18:00||21:00||11:00||15:00||18:00||21:00||11:00||15:00||18:00||21:00;;;;Plats à la carte||12,90||15,90||;Cartes bancaires,Espèces,Tickets Restaurant;47.2731505, -2.2057775;Loire-Atlantique
NOS BELLES ANNEES;Restaurant;Cuisine traditionnelle;;18 rue des Sables;;44210;;;PORNIC;44131;47.11518;-2.1025;;;02 51 18 19 25;;restaurant.nba@gmail.com;https://restaurant-nosbellesannees.com/;;;;;Le petit futé;;;oui;;;Plats à emporter,WiFi;26;;30;;;;;oui;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11518, -2.1025;Loire-Atlantique
O RESTO;Restaurant;Restauration rapide;;13 Avenue du Général Leclerc;;44390;;;NORT-SUR-ERDRE;44110;47.4388058;-1.4993102;Gare SNCF||Ligne Nantes Chateaubriant||0,8;;09 72 87 10 75;;oresto1994@outlook.fr;;;"Facebook||https://www.facebook.com/NortOresto ; Instagram||https://www.instagram.com/o.restoo/";;;;;;;;;Plats à emporter,Service en terrasse,WiFi;18;1;6;;;;Français;;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.4388058, -1.4993102;Loire-Atlantique
OLA PIZZA;Restaurant;Restauration rapide;;Avenue Guy Lafontaine;Parc d'Activités de la Guerche;44250;;;SAINT-BREVIN-LES-PINS;44154;47.24122;-2.15588;;;02 28 53 90 13;;;https://www.ola-pizza-saint-brevin.fr/;;;;;;;;;;;;;;;;;;;;;;;01/01/2019||31/12/2019||||||11:00||14:00||18:00||21:00||11:00||14:00||18:00||21:00||11:00||14:00||18:00||21:00||11:00||14:00||18:00||21:00||11:00||14:00||18:00||21:00||18:00||21:00||||||18:00||21:00||||;;;;;;47.24122, -2.15588;Loire-Atlantique
PAT'OU CRÊPES - TRAITEUR;Restaurant;;;;;44320;;;PAIMBOEUF;44116;47.28741;-2.031545;;;06 40 78 99 77;;moiseef.patricia@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28741, -2.031545;Loire-Atlantique
PICKLES;Restaurant;Restaurant gastronomique - cuisine raffinée;;2 rue du Marais;;44000;;;NANTES;44109;47.2181089;-1.5558886;;;02 51 84 11 89;;;http://www.pickles-restaurant.com;;;;;Gault Millau,Les Tables de Nantes,Michelin;;;;;;Plats à emporter / Covid-19;;1;;;0;;Anglais,Français;oui;;12;oui;||||||||||||||||12:00||14:00||||||12:00||14:00||20:00||22:00||12:00||14:00||20:00||22:00||12:00||14:00||20:00||22:30||||||20:00||22:30||||||||;||02 51 84 11 89||;oui;||http://www.pickles-restaurant.com/?page_id=1844||||||;;Cartes bancaires,Espèces,Tickets Restaurant;47.2181089, -1.5558886;Loire-Atlantique
PIZZ'ARIA;Restaurant;Restauration rapide;;28 rue Descartes;;44240;;;SUCE-SUR-ERDRE;44201;47.3411575;-1.5260727;;;02 40 77 50 41;;;https://pizzaria44.fr/?fbclid=IwAR3AXIBvTtxqW2nSSC3GznUBUEwLQy6uhX1-deTJedVD8N-s3yFPqaD0VwI;;Facebook||https://www.facebook.com/pizzaria44/;;;;;;;;;Plats à emporter;;;;;;;;;;;oui;||||||||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||22:00||11:30||14:00||18:30||21:00;;;;;;47.3411575, -1.5260727;Loire-Atlantique
PIZZA DEL SOLE;Restaurant;Pizzeria;;Impasse du Clos Sorel;Bourgneuf-en-Retz;44580;;;VILLENEUVE-EN-RETZ;44021;47.04779;-1.95949;;;02 40 21 80 80;;pizzadelsole@gmail.com;https://www.pizzadelsole.fr/;;;;;;;;;;;Plats à emporter;;;;;;;;oui;2;10;;;;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.04779, -1.95949;Loire-Atlantique
AU COEUR DE VOS FETES;Restaurant;;;13 rue des Coteaux;;44680;;;SAINTE-PAZANNE;44186;47.102143;-1.811466;;;06 76 22 14 45;;aucoeurdevosfetes@gmail.com;https://www.aucoeurdevosfetes.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.102143, -1.811466;Loire-Atlantique
14 AVENUE;Restaurant;Pizzeria;;14 avenue Pavie;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28261;-2.40536;;;02 40 60 09 21;;contact@14avenue-labaule.com;http://www.14avenue-labaule.com;;;;;Gault Millau;;;;;;;;;;;;;;;;;;"01/01/2022||06/07/2022||||||||||||||||||||||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30 ; 07/07/2022||31/08/2022||Vendredi et samedi soir fermeture 22h; fermeture le dimanche soir||||||||||||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30||12:30||13:30||19:30||21:30";;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.28261, -2.40536;Loire-Atlantique
A LA PINCÉE DE SEL;Restaurant;Brasserie;;6 place de Kerhillier;;44350;;;GUERANDE;44069;47.32717;-2.41479;;06 85 66 75 12;02 40 62 09 89;;alapinceedeselbrasserie@orange.fr;http://www.lapinceedesel.com;;;;;Bottin Gourmand;;;oui;;Maitres Restaurateurs;Séminaire,Service en terrasse,WiFi;110;;40;60;;;Allemand,Anglais;oui;;;;01/01/2023||31/12/2023||||||12:00||14:15||||||12:00||14:15||||||12:00||14:15||19:00||21:30||12:00||14:15||19:00||21:30||12:00||14:15||19:00||21:30||12:00||14:15||19:00||22:00||||||||;;;;Menu adulte du jour (midi en semaine)||29,00||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.32717, -2.41479;Loire-Atlantique
A TABLE;Restaurant;Grill - Rôtisserie;;7 rue Olivier Guichard;;44740;;;BATZ-SUR-MER;44010;47.27819;-2.4674;;;06 77 16 98 05;;chrisln2006@yahoo.fr;;;;;;;;;oui;;;;32;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.27819, -2.4674;Loire-Atlantique
ANNE EN CUISINE;Restaurant;Cuisine traditionnelle;;;;44680;;;SAINT-MARS-DE-COUTAIS;44178;47.11412;-1.73868;;06 76 78 20 77;;;anne-encuisine@riseup.net;;;Facebook||https://www.facebook.com/Anne-en-cuisine-119118200001069/?ref=page_internal;;;;;;;;;;;;;;;;;;;;;;;;;;;47.11412, -1.73868;Loire-Atlantique
AU FIL DE L'O;Restaurant;Cuisine traditionnelle;Rue de la loire;Le Port;;44360;;;CORDEMAIS;44045;47.2834239;-1.873039;;;;;aufildelo44360@orange.fr;;;Facebook||https://www.facebook.com/Au-Fil-De-L%C3%B4;;;;;;oui;animaux attachés;;Banquet,Climatisation,Séminaire,Service en terrasse;70;2;50;;1;;Français;oui;0;50;oui;;Au fil de l'ô||02 28 02 31 79||aufildelo44360@orange.fr;;;Plats à la carte||||||plat du Jour en semaine;Cartes bancaires,Espèces,Tickets Restaurant;47.2834239, -1.873039;Loire-Atlantique
AUBERGE DE BRÉCA;Restaurant;Cuisine traditionnelle;;352 village de Bréca;;44410;;;SAINT-LYPHARD;44175;47.36227;-2.3186;;;02 40 91 41 42;;contact@auberge-breca.com;http://www.auberge-breca.com;;;;;Bottin Gourmand,Gault Millau,Le petit futé,Michelin;;;oui;;Labellisé Restaurateurs de France,Maitres Restaurateurs;Service en terrasse,WiFi;80;;40;;;;Anglais;oui;;80;;"07/11/2022||16/04/2023||Fermeture pour congés du 24 décembre au 13 janvier inclus. Ouverture le mardi 14 février au soir.||||||||||||||||||||||||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00|||||||||||| ; 08/11/2022||16/04/2023||Fermeture pour congés du 24 décembre au 13 janvier inclus. Ouverture le mardi 14 février au midi.||||||||||||||||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30|||| ; 17/04/2023||05/11/2023||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30|||| ; 17/04/2023||06/11/2023||||||||||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00||||||||||||";;;;"Menu enfant||12,00|||| ; Menu adulte du jour (midi en semaine)||38,00||54,00||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.36227, -2.3186;Loire-Atlantique
AUBERGE DU HAUT-MARLAND;Restaurant;Cuisine traditionnelle;;Le Haut-Marland;55 route de la Chaussée Neuve;44117;;;SAINT-ANDRE-DES-EAUX;44151;47.33275;-2.29101;;;02 40 01 29 00;;aubergemarlandsg4@orange.fr;http://www.lehautmarland.fr;;;;;;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,Séminaire;;2;30;1;;;Anglais;oui;;60;oui;01/01/2023||31/12/2023||Ouvert du mardi au dimanche midi||Fermé le dimanche soir et le lundi||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||;;;;"Menu enfant||12,80|||| ; Menu adulte du jour (midi en semaine)||19,50|||| ; Menu adulte soir et week-end||31,50||41,50||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.33275, -2.29101;Loire-Atlantique
AUX PETITS OIGNONS;Restaurant;;;3 rue Charles de Gaulle;;44740;;;BATZ-SUR-MER;44010;47.27783;-2.48045;;07 82 50 21 08;;;sam.cappelier@gmail.com;https://batzauxpetitsoignons.eatbu.com;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;13/12/2021||31/12/2022||||||||||||||11:30||14:00||18:45||21:00||11:30||14:00||18:45||21:00||11:30||14:00||18:45||21:00||11:30||14:00||18:45||21:00||11:30||14:00||18:45||21:00||11:30||14:00||18:45||21:00;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.27783, -2.48045;Loire-Atlantique
B2B - THE PIZZA BAR;Restaurant;Pizzeria;;148 avenue du Général de Gaulle;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28648;-2.39154;;;02 40 24 20 21;;b2b@thepizzabar.fr;https://b2bthepizzabar.wixsite.com/thepizzabar;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;"01/01/2022||30/12/2022||||||||||||||17:30||21:00||||||17:30||21:00||||||17:30||21:00||||||17:30||21:00||||||17:30||21:00||||||17:30||21:00|||| ; 01/01/2022||31/12/2022||||||||||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30|||| ; 01/07/2022||31/08/2022||||||12:00||21:30||||||12:00||21:30||||||12:00||21:30||||||12:00||21:30||||||12:00||21:30||||||12:00||21:30||||||12:00||21:30||||";;;;Menu enfant||8,50||||;;47.28648, -2.39154;Loire-Atlantique
BALME;Restaurant;;;7 Avenue du Marché;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28567;-2.39509;;06 33 12 28 77;02 40 66 77 58;;labaule@balme.fr;https://www.maisonbalme.com;;;;;;;;;;;;;;;;;;;;;;;"01/01/2022||30/12/2022||||||||||||||||||||||||||||||17:30||22:00||||||17:30||22:00||||||17:30||22:00||||||09:30||15:30|||| ; 01/01/2022||31/12/2022||||||||||||||09:30||15:30||17:30||19:30||09:30||15:30||17:30||19:30||09:30||15:30||||||09:30||15:30||||||09:30||15:30||||||||||||";;;;;;47.28567, -2.39509;Loire-Atlantique
BAR A BIERES DE LA BRASSERIE DE LA DIVATTE;Restaurant;Bistrot / bar à vin;;34 bis Le Norestier;La Chapelle Basse Mer;44450;;;DIVATTE-SUR-LOIRE;44029;47.28023;-1.3744;;;02 40 33 38 94;;(trompesourisbzh@outlook.fr);https://www.bieretrompesouris.com/;;;;;;;;oui;;;;;;;;;;Allemand,Anglais;oui;10;40;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.28023, -1.3744;Loire-Atlantique
