Identifiant;Identifiant;Nom;Pôle;Commune;Adresse;Complément d’adresse;Marque;Type;Complément type;Automatique;Accessibilité PMR;Propriétaire;Exploitant;Nettoiement;Maintenance;Horaires d’ouverture;Motif;Jours de marché;Géométrie
36;SP_NM_01_001;Eglise;Loire Sèvre Vignoble;Basse-Goulaine;Place St Brice;Derrière l'église face au 23 Place St Brice;SAGELEC;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Centre ville;mercredi;"{""coordinates"": [-1.465319320361417, 47.21501608431464], ""type"": ""Point""}"
41;SP_C_24_002;Cale Beautour;Loire Sèvre Vignoble;Vertou;Rue de la Cale de Beautour;espace vert près de la Cale;SAGELEC;;;;oui;Commune;Commune;Commune;Commune;journée;;jeudi;"{""coordinates"": [-1.5108851339177325, 47.170920802454255], ""type"": ""Point""}"
47;SP_C_21_001;Ile Clémentine;Erdre et Loire;Sainte-Luce-sur-Loire;Ile Clémentine (bord de Loire);Allée Robert Cheval;;;;;oui;Nantes Métropole;Commune;Commune;Commune;;;;"{""coordinates"": [-1.4608691857657556, 47.24432510199073], ""type"": ""Point""}"
60;SP_C_13_006;Plessis Tison;Erdre et Loire;Nantes;Parc du Plessis Tison;Rond-Point de Paris;SAGELEC;Mobilier;WC siège;oui;oui;Commune;Commune;Commune;Commune;;;;"{""coordinates"": [-1.5360724400962593, 47.234081750760964], ""type"": ""Point""}"
62;SP_NM_22_001;Gendarmerie;Erdre et Cens;Sautron;Place de la Gendarmerie;derrière l'arrêt de bus Place Centrale;MPS;Mobilier;WC siège + urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Centre ville;mardi dimanche;"{""coordinates"": [-1.672799845135479, 47.26257922529821], ""type"": ""Point""}"
73;SP_C_07_001;Embarcadère les 3 iles;Loire Chézine;Indre;Place Jean Bordais;esplannade bords de loire/jardin public;SAGELEC;Mobilier;;oui;oui;Commune;Commune;Commune;Commune;journée;Présence d'un marché;dimanche;"{""coordinates"": [-1.673767067807984, 47.19779034428495], ""type"": ""Point""}"
74;SP_NM_17_001;Marcel Paul;Loire Chézine;Saint-Herblain;P+R Marcel Paul;;SAGELEC;Mobilier;;oui;oui;Nantes Métropole;TAN;TAN;TAN;journée;;;"{""coordinates"": [-1.6392786352288065, 47.22192801544993], ""type"": ""Point""}"
86;SP_NM_13_029;Petite Hollande;Nantes Loire;Nantes;Quai de la Fosse - Parking Gloriette;Marché de la Petite Hollande;DECAUX;Bâti;;non;non;Decaux;Decaux;Decaux;Decaux;journée;Centre ville;samedi;"{""coordinates"": [-1.5607565224404505, 47.21106237786622], ""type"": ""Point""}"
93;SP_NM_13_036;Armand Brossard;Nantes Loire;Nantes;Rue Armand Brossard;Rue du Cheval Blanc;DECAUX;Mobilier;;oui;oui;Decaux;Decaux;Decaux;Decaux;journée;Centre ville;;"{""coordinates"": [-1.5562296303460017, 47.217097549757035], ""type"": ""Point""}"
95;SP_C_13_011;Jardin des Plantes Nord;Nantes Loire;Nantes;Jardin des Plantes;Rue Gambetta;;Bâti;WC siège;non;oui;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5445668769323644, 47.220517089369785], ""type"": ""Point""}"
